レコード種別,カラム名,位置,長さ
CH,本年前年累計成績情報_2_福島障害着回数_5,2076,6
CH,本年前年累計成績情報_2_福島障害着回数_6,2082,6
CH,本年前年累計成績情報_2_新潟平地着回数_1,2088,6
CH,本年前年累計成績情報_2_新潟平地着回数_2,2094,6
CH,本年前年累計成績情報_2_新潟平地着回数_3,2100,6
CH,本年前年累計成績情報_2_新潟平地着回数_4,2106,6
CH,本年前年累計成績情報_2_新潟平地着回数_5,2112,6
CH,本年前年累計成績情報_2_新潟平地着回数_6,2118,6
CH,本年前年累計成績情報_2_新潟障害着回数_1,2124,6
CH,本年前年累計成績情報_2_新潟障害着回数_2,2130,6
CH,本年前年累計成績情報_2_新潟障害着回数_3,2136,6
CH,本年前年累計成績情報_2_新潟障害着回数_4,2142,6
CH,本年前年累計成績情報_2_新潟障害着回数_5,2148,6
CH,本年前年累計成績情報_2_新潟障害着回数_6,2154,6
CH,本年前年累計成績情報_2_東京平地着回数_1,2160,6
CH,本年前年累計成績情報_2_東京平地着回数_2,2166,6
CH,本年前年累計成績情報_2_東京平地着回数_3,2172,6
CH,本年前年累計成績情報_2_東京平地着回数_4,2178,6
CH,本年前年累計成績情報_2_東京平地着回数_5,2184,6
CH,本年前年累計成績情報_2_東京平地着回数_6,2190,6
CH,本年前年累計成績情報_2_東京障害着回数_1,2196,6
CH,本年前年累計成績情報_2_東京障害着回数_2,2202,6
CH,本年前年累計成績情報_2_東京障害着回数_3,2208,6
CH,本年前年累計成績情報_2_東京障害着回数_4,2214,6
CH,本年前年累計成績情報_2_東京障害着回数_5,2220,6
CH,本年前年累計成績情報_2_東京障害着回数_6,2226,6
CH,本年前年累計成績情報_2_中山平地着回数_1,2232,6
CH,本年前年累計成績情報_2_中山平地着回数_2,2238,6
CH,本年前年累計成績情報_2_中山平地着回数_3,2244,6
CH,本年前年累計成績情報_2_中山平地着回数_4,2250,6
CH,本年前年累計成績情報_2_中山平地着回数_5,2256,6
CH,本年前年累計成績情報_2_中山平地着回数_6,2262,6
CH,本年前年累計成績情報_2_中山障害着回数_1,2268,6
CH,本年前年累計成績情報_2_中山障害着回数_2,2274,6
